lng,lat,price_per_square_meter
19.079288934357816,47.47895665,1527685.19
19.07610308200637,47.4735,1366304.35
19.06812788376311,47.4894266,1661600.00
,,1465517.24
19.074185433764946,47.488549649999996,1579230.77
19.07610308200637,47.4735,1554888.89
19.0543659,47.5173978,819402.99
19.119152884789578,47.4717082,1024657.53
19.0427144,47.5865231,1604255.32
19.119656,47.5146915,1095081.97
,,1390625.00
19.08029,47.4989296,1274285.71
19.0644099,47.5384042,1047368.42
19.1230535,47.5230092,1606060.61
19.0657645,47.535442,910869.57
19.0706763,47.5226561,969444.44
19.0904755,47.548711,1225000.00
19.1230535,47.5230092,1370370.37
19.0519708,47.5155233,1180303.03
19.089351,47.5042097,762790.69
19.0723167,47.4817947,1375362.32
19.0495356,47.5154445,619596.54
19.0421999,47.4623759,1075000.00
19.017888177488455,47.470617950000005,1756091.95
19.02633680548874,47.46200855,1477611.94
19.1230535,47.5230092,1416326.53
19.075016,47.5087552,1192000.00
19.085362122881754,47.48746085,1895769.23
19.082082,47.5383689,871830.99
19.0825328,47.4894534,848837.21
19.02979067022372,47.4649324,1200000.00
19.08825970341463,47.42481765,567241.38
19.0030829,47.5220975,1477272.73
19.1130467,47.5169193,1122500.00
19.0681964,47.5227429,1330102.04
19.074185433764946,47.488549649999996,2161794.87
19.0883086,47.5611034,1189759.04
19.1265984,47.5240138,1802564.10
19.075016,47.5087552,1192000.00
19.0835068,47.5335467,1101754.39
18.9816041,47.4642214,1487826.09
19.0823695,47.4790659,961165.05
19.0200262,47.4807204,998507.46
19.0600541,47.5225148,1275000.00
19.06274,47.6026308,682456.14
19.119152884789578,47.4717082,1047058.82
19.0765786,47.4719395,1519833.33
19.0677381,47.5201797,955319.15
19.0897318,47.5420677,1406764.71
19.0582148,47.5315815,1538289.47
19.17313,47.4496326,741860.47
19.0484888,47.5036399,1255319.15
19.0874558,47.5556512,774647.89
19.0711239,47.5194372,1379411.76
19.067768162080053,47.5082687,1458333.33
19.0897318,47.5420677,798666.67
19.0438097,47.5532693,745098.04
19.1230535,47.5230092,1292307.69
,,971428.57
19.0485216,47.4585107,1618918.92
19.0380893,47.4757444,832051.28
19.0778766,47.488821,1100238.10
19.0852186,47.5018434,1209090.91
19.0944826,47.5706983,680952.38
19.0438097,47.5532693,764705.88
19.0600748,47.4943405,1659090.91
19.0600155,47.5172978,1772727.27
19.0777119,47.5583415,1161956.52
19.0706763,47.5226561,1249772.73
19.0671648,47.5421182,1576315.79
,,787037.04
19.119356,47.4733146,1241935.48
19.0681806,47.5127078,1078378.38
19.1049572,47.5345202,636363.64
19.0758798,47.5066206,1438235.29
19.0200262,47.4807204,1102941.18
19.07610308200637,47.4735,1488695.65
19.082082,47.5383689,1460000.00
19.07610308200637,47.4735,1530434.78
19.119152884789578,47.4717082,1006666.67
19.06274,47.6026308,717543.86
19.1461005,47.4620348,1266666.67
19.0765786,47.4719395,1660853.66
,,1538372.09
19.02979067022372,47.4649324,1200000.00
,,1235135.14
19.0743714,47.5022052,713095.24
19.1415866,47.4607052,1004848.47
19.0438097,47.5532693,764705.88
18.9927963,47.5324605,1477272.73
19.1265984,47.5240138,1600923.08
19.0369387,47.541967,740384.62
19.1395441,47.5151356,1222432.43
19.1461005,47.4620348,1353030.30
,,733823.53
19.0384965,47.5379482,670312.50
19.079288934357816,47.47895665,1716393.44
19.0800099,47.4773245,1635151.52
19.0890204,47.5311152,773611.11
19.0330303,47.5427581,758000.00
19.0582148,47.5315815,1507567.57
19.1230535,47.5230092,1569696.97
19.0278813,47.5260489,1464285.71
18.9979379,47.4963285,1350000.00
19.0912732,47.5447998,1686250.00
19.0778817,47.5305487,1304761.90
19.0892489,47.5595711,847457.63
19.0890649,47.4899695,795652.17
19.0678495,47.5353801,1131111.11
19.079685050851158,47.56299985,1507812.50
19.0904755,47.548711,1297402.60
19.1174203,47.4672532,670689.66
19.03274,47.493028,1632448.98
19.0904755,47.548711,1144444.44
,,1589189.19
19.0904755,47.548711,1194805.19
19.067523291223438,47.48289295,816793.89
19.0765786,47.4719395,1530338.98
19.048932,47.5085629,1202702.70
19.0354346,47.5448076,689705.88
19.0582148,47.5315815,900000.00
19.119356,47.4733146,1294594.59
19.0759735,47.4866411,1700000.00
19.07546392929593,47.473533849999995,1604531.25
19.018764437765924,47.49564235,2151555.56
19.0178434,47.4895251,1549019.61
19.0050842,47.4833489,2222745.10
19.0582148,47.5315815,1493846.15
19.08614,47.54218,857894.74
19.0600541,47.5225148,966666.67
19.0843001,47.5059922,870930.23
,,934042.55
19.149102,47.4591603,676271.19
19.0454874,47.5473341,1363013.70
19.0372981,47.5288548,965000.00
18.996719599999995,47.531170599999996,3074468.09
19.0838578,47.5238822,1143636.36
19.0992992,47.5323572,1142857.14
19.1415866,47.4607052,1255263.16
19.057884,47.4669104,2179487.18
19.082082,47.5383689,1700000.00
19.119656,47.5146915,1261538.46
19.1030597,47.5157976,997500.00
19.0706763,47.5226561,1468437.50
19.0778817,47.5305487,838235.29
19.0589805,47.5256696,777777.78
19.0897318,47.5420677,801785.71
19.0670247,47.4929002,886915.89
18.9736967,47.5231241,1478632.48
19.0904755,47.548711,1216049.38
19.140802,47.4452234,1097291.67
19.1415866,47.4607052,1350000.00
19.1461005,47.4620348,1450857.14
19.0708907,47.5050814,936363.64
19.0376256,47.4742726,908181.82
19.022024966572715,47.50995265,1847945.21
19.1461005,47.4620348,1033606.56
19.0178434,47.4895251,1269230.77
,,1036250.00
19.0636997,47.5024612,1238000.00
,,613207.55
19.0991337,47.5109709,579000.00
18.968088,47.5251183,1478632.48
19.0778766,47.488821,1110847.46
19.082082,47.5383689,1160465.12
,,2786571.43
19.0376256,47.4742726,1000000.00
19.0254457,47.5328817,1013043.48
19.0575223,47.5298857,1438202.25
19.062266651683633,47.508400949999995,1744358.97
19.078387333377506,47.49820545,651724.14
19.0753475,47.4758761,1425000.00
19.14760573289709,47.5080832,895918.37
19.0548812,47.5116966,1267441.86
19.033687,47.4636056,872916.67
19.1461005,47.4620348,1104696.97
19.0174006,47.4593122,880882.35
19.0582148,47.5315815,1510000.00
19.0864329,47.4870236,907272.73
18.9761405,47.5286885,1657894.74
19.03863,47.4520722,1041304.35
19.0864329,47.4870236,1285714.29
19.0664702,47.4879215,1852941.18
19.1465176,47.4484411,671153.85
19.0030829,47.5220975,1296296.30
19.1249061,47.5036481,1068965.52
19.0420023,47.5463338,1010204.08
19.0356242,47.4754474,784285.71
19.0968182,47.484736,837567.57
